,date,link,company,field,place,round,amount,investor
104,2016.8.31,https://www.itjuzi.com/investevents/19937,奇竺运势日历/口袋神婆,文化娱乐,上海,A轮,数千万人民币,连云资本
105,2016.8.31,https://www.itjuzi.com/investevents/19936,布比区块链,金融,北京,Pre-A轮,3000万人民币,"启赋资本,招商局,创新工场,界石投资"
106,2016.8.31,https://www.itjuzi.com/investevents/19935,懂球帝,体育运动,北京,C轮,3.5亿人民币,"苏宁,天星资本,红杉资本中国"
107,2016.8.31,https://www.itjuzi.com/investevents/19932,三个和尚,本地生活,北京,天使轮,500万人民币,"泰有投资,水木清华校友基金"
108,2016.8.31,https://www.itjuzi.com/investevents/19923,易途8(易途吧),旅游,浙江,B轮,1.5亿人民币,"中赢投资,顺融资本"
109,2016.8.31,https://www.itjuzi.com/investevents/19918,8只小猪,旅游,广东,Pre-A轮,数千万人民币,投资方未透露
110,2016.8.30,https://www.itjuzi.com/investevents/20027,石更化贝,文化娱乐,北京,天使轮,100万人民币,互联网电影集团IFG
111,2016.8.30,https://www.itjuzi.com/investevents/19916,行周末,文化娱乐,浙江,天使轮,800万人民币,"头头是道投资基金,掌趣创享基金"
112,2016.8.30,https://www.itjuzi.com/investevents/19910,老虎快跑,物流,北京,天使轮,500万人民币,投资方未透露
113,2016.8.30,https://www.itjuzi.com/investevents/19903,猎上网HunterOn,企业服务,上海,C轮,2亿人民币,"大华创投管理,IDG资本,红杉资本中国"
114,2016.8.30,https://www.itjuzi.com/investevents/19901,上上签,企业服务,浙江,A+轮,数千万人民币,"顺为基金,经纬中国,DCM中国"
115,2016.8.29,https://www.itjuzi.com/investevents/20159,高登世德,企业服务,贵州,Pre-A轮,数千万人民币,京东
116,2016.8.29,https://www.itjuzi.com/investevents/20152,牛快计,企业服务,江苏,天使轮,数百万人民币,海丰至诚
117,2016.8.29,https://www.itjuzi.com/investevents/19885,建业科技,企业服务,上海,新三板,未透露,投资方未透露
118,2016.8.29,https://www.itjuzi.com/investevents/19883,易天天,电子商务,浙江,天使轮,600万人民币,苏河汇
119,2016.8.29,https://www.itjuzi.com/investevents/19880,商产网,房产服务,江苏,Pre-A轮,数百万美元,中江资本
120,2016.8.29,https://www.itjuzi.com/investevents/19879,小船互动,硬件,上海,Pre-A轮,数千万人民币,暴风科技
121,2016.8.29,https://www.itjuzi.com/investevents/19876,浙金网,金融,浙江,A轮,3000万人民币,银江股份(银江资本)
122,2016.8.29,https://www.itjuzi.com/investevents/19872,版映科技,文化娱乐,北京,天使轮,数千万人民币,投资方未透露
123,2016.8.29,https://www.itjuzi.com/investevents/19871,快早餐,本地生活,陕西,天使轮,1000万人民币,软银中国
124,2016.8.29,https://www.itjuzi.com/investevents/19870,真机智能,硬件,北京,天使轮,数百万人民币,中科创星
125,2016.8.29,https://www.itjuzi.com/investevents/19868,百合网,社交网络,北京,IPO上市后,8.82亿人民币,宝新能源
126,2016.8.29,https://www.itjuzi.com/investevents/19866,全域医疗,医疗健康,北京,A+轮,1.8亿人民币,"联基金,正和磁系资本"
127,2016.8.28,https://www.itjuzi.com/investevents/20197,棉联网,电子商务,上海,Pre-A轮,未透露,金轮股份
128,2016.8.28,https://www.itjuzi.com/investevents/19860,沃时贷,金融,江苏,B轮,4000万人民币,神州泰岳(泰岳梧桐)
129,2016.8.28,https://www.itjuzi.com/investevents/19858,海外U,电子商务,湖北,天使轮,数百万人民币,洪泰创新空间
130,2016.8.27,https://www.itjuzi.com/investevents/19849,维宁体育,体育运动,北京,Pre-A轮,数千万人民币,"RIC棕泉资本,达晨创投,体奥动力"
131,2016.8.26,https://www.itjuzi.com/investevents/19843,游小二,旅游,福建,天使轮,200万人民币,投资方未透露
132,2016.8.26,https://www.itjuzi.com/investevents/19842,拿货商城,电子商务,广东,天使轮,1000万人民币,慧聪网
133,2016.8.26,https://www.itjuzi.com/investevents/19833,LAMODA高端时尚女鞋定制DIY,电子商务,广东,天使轮,2000万人民币,鑫威财富
134,2016.8.26,https://www.itjuzi.com/investevents/19832,陆金申华,汽车交通,上海,战略投资,3000万人民币,瑞璟创投
135,2016.8.26,https://www.itjuzi.com/investevents/19831,EduSoho阔知网络,教育,浙江,A轮,数千万人民币,华睿投资
136,2016.8.26,https://www.itjuzi.com/investevents/19829,好享家,硬件,江苏,B轮,1.2亿人民币,"方正和生投资,富坤投资"
137,2016.8.26,https://www.itjuzi.com/investevents/19827,数牛金服,金融,浙江,战略投资,3000万人民币,投资方未透露
