date,link,company,field,place,round,amount,investor
2016-08-24,https://www.itjuzi.com/investevents/19706,鹏金所,金融,广东,战略投资,3亿人民币,万科集团
2016-08-24,https://www.itjuzi.com/investevents/19702,8天在线,本地生活,江苏,C轮,亿元及以上人民币,苏宁
2016-08-24,https://www.itjuzi.com/investevents/19699,家私烤,本地生活,北京,天使轮,数百万人民币,星河互联
2016-08-24,https://www.itjuzi.com/investevents/19696,悦游五洲,旅游,北京,Pre-A轮,800万人民币,投资方未透露
2016-08-24,https://www.itjuzi.com/investevents/19695,小旭音乐,文化娱乐,北京,A轮,数千万人民币,投资方未透露
2016-08-24,https://www.itjuzi.com/investevents/19693,光猪圈健身,体育运动,北京,Pre-A轮,1200万人民币,"探路者和同体育产业并购基金,中企会投资"
2016-08-24,https://www.itjuzi.com/investevents/19691,Testin云测网络,企业服务,北京,C轮,3000万美元,投资方未透露
2016-08-24,https://www.itjuzi.com/investevents/19660,幼师口袋,教育,上海,Pre-A轮,1000万人民币,"海捷投资,明势资本,华创资本,未来工场"
2016-08-23,https://www.itjuzi.com/investevents/20021,鹍远基因,医疗健康,上海,A轮,2000万美元,"礼来亚洲基金,松禾资本,辰德资本"
2016-08-23,https://www.itjuzi.com/investevents/19688,八爪鱼在线旅游,旅游,江苏,B轮,1.7亿人民币,腾邦国际
2016-08-23,https://www.itjuzi.com/investevents/19686,中声科技,硬件,北京,天使轮,数百万人民币,"朗玛峰创投,ONES Ventures"
2016-08-23,https://www.itjuzi.com/investevents/19680,U糖健康,医疗健康,上海,A+轮,数千万人民币,金库创投
2016-08-23,https://www.itjuzi.com/investevents/19679,喂啊科技,游戏,上海,A轮,1000万美元,幻维世界
2016-08-23,https://www.itjuzi.com/investevents/19671,销帮帮,企业服务,浙江,天使轮,900万人民币,"新德集团,上海嘉银金融"
2016-08-23,https://www.itjuzi.com/investevents/19669,VIPKID大米科技,教育,北京,战略投资,数千万美元,Bryant Stibel
2016-08-23,https://www.itjuzi.com/investevents/19667,斑马快跑,物流,湖北,B轮,1.5亿人民币,多氟多集团博嘉创投
2016-08-23,https://www.itjuzi.com/investevents/19664,荷格科技AdbugTech,广告营销,上海,A轮,数千万人民币,鸿金投资
2016-08-23,https://www.itjuzi.com/investevents/19661,Insta360,硬件,广东,B+轮,数千万人民币,苏宁
2016-08-23,https://www.itjuzi.com/investevents/19659,叮咚柠檬,本地生活,北京,天使轮,数千万人民币,普思资本
2016-08-23,https://www.itjuzi.com/investevents/19515,小马助手WiFiMaster,工具软件,上海,A轮,1000万美元,软银中国
2016-08-22,https://www.itjuzi.com/investevents/19656,喜茶HeekCaa,本地生活,广东,A轮,1亿人民币,"IDG资本,今日投资"
2016-08-22,https://www.itjuzi.com/investevents/19655,鱼尾户外,硬件,辽宁,天使轮,116万人民币,indiegogo
2016-08-22,https://www.itjuzi.com/investevents/19654,砍房团,房产服务,山东,Pre-A轮,1500万人民币,美乐创投基金
2016-08-22,https://www.itjuzi.com/investevents/19653,智享乐居,本地生活,北京,Pre-A轮,500万人民币,家电院
2016-08-22,https://www.itjuzi.com/investevents/19652,原色映画,文化娱乐,北京,种子轮,200万人民币,投资方未透露
2016-08-22,https://www.itjuzi.com/investevents/19651,心客,本地生活,江西,A轮,未透露,中科招商
2016-08-22,https://www.itjuzi.com/investevents/19649,一起好,金融,湖北,A轮,未透露,美锦能源
2016-08-22,https://www.itjuzi.com/investevents/19648,优腾教育,教育,浙江,天使轮,500万人民币,齐一资本
2016-08-22,https://www.itjuzi.com/investevents/19646,旺集科技UMKA商城,电子商务,福建,A轮,4500万人民币,"红石诚金,厦门海西明珠投资"
2016-08-22,https://www.itjuzi.com/investevents/19643,果派联合,文化娱乐,湖北,A轮,数千万人民币,经纬中国
2016-08-22,https://www.itjuzi.com/investevents/19642,天天电竞,游戏,北京,A轮,9000万人民币,"中科招商,中投公司"
2016-08-22,https://www.itjuzi.com/investevents/19638,博智软件,企业服务,江苏,B轮,3240万人民币,"宝安投资,达晨创投"
2016-08-22,https://www.itjuzi.com/investevents/19629,inmix音米眼镜,电子商务,北京,新三板,未透露,投资方未透露
2016-08-22,https://www.itjuzi.com/investevents/19628,达令,电子商务,北京,C轮,3亿人民币,"红杉资本中国,IDG资本,今日资本"
2016-08-20,https://www.itjuzi.com/investevents/19611,玩车教授,汽车交通,广东,A+轮,3600万人民币,广东文投国富
2016-08-19,https://www.itjuzi.com/investevents/19658,韵达快递,物流,上海,IPO上市,177.6亿人民币,新海股份
2016-08-19,https://www.itjuzi.com/investevents/19645,亿采网,电子商务,北京,A+轮,数千万人民币,"徽瑾创投(宝茂金融),西南证劵"
2016-08-19,https://www.itjuzi.com/investevents/19565,京东,电子商务,北京,IPO上市后,亿元及以上美元,腾讯
2016-08-19,https://www.itjuzi.com/investevents/19561,医数,医疗健康,浙江,天使轮,数百万人民币,凯利泰医疗科技有限公司
2016-08-19,https://www.itjuzi.com/investevents/19557,变态说,文化娱乐,北京,种子轮,40万人民币,蚂蚁天使
2016-08-19,https://www.itjuzi.com/investevents/19555,星桥数据,金融,广东,Pre-A轮,2000万人民币,中科招商
2016-08-19,https://www.itjuzi.com/investevents/19553,摩拜单车,硬件,北京,B轮,数千万美元,"熊猫资本,JOY Capital愉悦资本"
2016-08-19,https://www.itjuzi.com/investevents/19552,凡事网络,文化娱乐,上海,A轮,未透露,"松禾资本,联创永宣,冷笑话(飞博共创)"
2016-08-19,https://www.itjuzi.com/investevents/19551,智慧寺院网,社交网络,北京,A轮,1000万人民币,投资方未透露
