,date,link,company,field,place,round,amount,investor
67,2015.7.2,https://www.itjuzi.com/investevents/15642,牛牛汽车,汽车交通,上海,天使轮,数百万人民币,"九合创投,大道至简资本"
68,2015.7.2,https://www.itjuzi.com/investevents/16046,星伦网络Mobido,企业服务,广东,天使轮,1000万人民币,启赋资本
69,2015.7.2,https://www.itjuzi.com/investevents/16641,疯景科技MadV,硬件,北京,天使轮,数百万人民币,真格基金
70,2015.7.2,https://www.itjuzi.com/investevents/9439,金斧子,金融,广东,B轮,5000万美元,"人人公司,红杉资本中国"
71,2015.7.2,https://www.itjuzi.com/investevents/9456,葩葩PaPa口袋影院,硬件,北京,A轮,4500万人民币,投资方未透露
72,2015.7.2,https://www.itjuzi.com/investevents/9467,神州专车(神州优车),汽车交通,天津,A轮,2.5亿美元,"华平投资WI Harper Group,君联资本,神州租车"
73,2015.7.2,https://www.itjuzi.com/investevents/9468,上海讯联数据,金融,上海,A轮,1亿人民币,红杉资本中国
74,2015.7.2,https://www.itjuzi.com/investevents/9469,龙渊网络,游戏,四川,B轮,亿元及以上人民币,"浙报传媒(东方星空),创新工场"
75,2015.7.2,https://www.itjuzi.com/investevents/9471,枇杷派云招聘,企业服务,江苏,A轮,4000万人民币,"赛富基金,真格基金,Arbor Ventures乔木创投,华岩资本ChinaRock"
76,2015.7.2,https://www.itjuzi.com/investevents/9473,去滑雪GoSki,体育运动,北京,天使轮,100万美元,Crystal Stream清流资本
77,2015.7.2,https://www.itjuzi.com/investevents/9481,楼下100,本地生活,上海,A轮,8000万人民币,JJ比赛(竞技创投)
78,2015.7.2,https://www.itjuzi.com/investevents/9529,莫比健身,体育运动,上海,A轮,数百万美元,IDG资本
79,2015.7.2,https://www.itjuzi.com/investevents/10569,天赐游戏,游戏,北京,A轮,数千万人民币,华谊兄弟
80,2015.7.2,https://www.itjuzi.com/investevents/11103,中联畅想游戏,游戏,北京,B轮,数千万人民币,奥飞动漫
81,2015.7.2,https://www.itjuzi.com/investevents/11439,小强停车,汽车交通,浙江,天使轮,数百万人民币,投资方未透露
82,2015.7.2,https://www.itjuzi.com/investevents/11472,趣自游,旅游,浙江,天使轮,数百万人民币,帮实资本
